variable,before,after
American Kestrel,1.789820559,-1.172517274
American Kestrel,1.511080775,-0.948638415
American Kestrel,2.524221241,-0.916537707
American Kestrel,2.019103543,-0.713856764
American Kestrel,2.684160459,-1.307756545
American Kestrel,2.031608297,-1.464398883
American Kestrel,1.79539252,-0.757643893
American Kestrel,2.581197772,-1.054261937
American Kestrel,2.953833023,-1.270267635
American Kestrel,1.952316713,-1.312860857
American Kestrel,1.177117037,-0.560716197
American Kestrel,1.611706432,-0.723842314
American Kestrel,2.530859147,-1.149520173
American Kestrel,2.046236708,-0.885778409
American Kestrel,2.255600063,-0.922988161
American Kestrel,2.098802132,-1.173060834
American Kestrel,2.376010732,-0.984410904
American Kestrel,1.737848506,-0.677016944
American Kestrel,1.532888147,-0.974821415
American Kestrel,2.173832416,-0.842726753
American Kestrel,1.762904563,-0.970274831
American Kestrel,2.09117823,-1.369566486
American Kestrel,2.31953333,-0.857835877
American Kestrel,2.187822847,-1.044607274
American Kestrel,2.660131059,-0.993378943
American Kestrel,2.276366483,-1.031430009
American Kestrel,1.810781658,-1.061589944
American Kestrel,1.904154151,-1.02277732
American Kestrel,1.234442023,-0.777988049
American Kestrel,2.167920675,-1.374828429
American Kestrel,1.936920528,-0.772575796
American Kestrel,2.375003917,-1.360724349
American Kestrel,1.499233855,-1.238811566
American Kestrel,2.052575427,-1.043011221
American Kestrel,2.052081228,-1.067516072
American Kestrel,1.43332167,-0.669740267
American Kestrel,1.882718567,-1.257784138
American Kestrel,2.225311263,-1.030536087
American Kestrel,2.241009434,-1.174497843
American Kestrel,1.739526098,-0.701330369
American Kestrel,2.437978458,-0.831219082
American Kestrel,2.673257605,-1.07034687
American Kestrel,2.276849706,-1.132840345
American Kestrel,2.699563494,-0.938683931
American Kestrel,2.467722884,-0.892382016
American Kestrel,1.65595773,-0.738392447
American Kestrel,2.650637233,-1.02742689
American Kestrel,1.856193717,-0.667446629
American Kestrel,1.659989916,-1.050901811
American Kestrel,1.800602829,-1.01852237
American Kestrel,2.57944025,-0.992910289
American Kestrel,1.785578121,-0.969879678
American Kestrel,1.519978539,-0.758347104
American Kestrel,2.22963923,-0.878548656
American Kestrel,2.525711532,-0.913748204
American Kestrel,1.807432517,-0.994676664
American Kestrel,1.617308439,-1.043017941
American Kestrel,2.655695728,-1.076548209
American Kestrel,1.876231449,-1.078784111
American Kestrel,1.686505128,-0.833943163
American Kestrel,1.944653924,-0.904905664
American Kestrel,1.664128301,-0.882466759
American Kestrel,2.67795834,-1.152261794
American Kestrel,1.778588398,-1.274015414
American Kestrel,2.216613012,-1.0656618
American Kestrel,2.6785877,-0.617493733
American Kestrel,2.065035924,-1.031033063
American Kestrel,1.513986525,-0.932528267
American Kestrel,1.845254014,-0.939058565
American Kestrel,2.033429847,-1.34738188
American Kestrel,1.81151812,-0.956895612
American Kestrel,2.531784092,-1.149662372
American Kestrel,2.082485913,-1.10786535
American Kestrel,2.210276286,-0.971688554
American Kestrel,1.91243749,-0.936309168
American Kestrel,2.564429703,-0.837556023
American Kestrel,1.901623342,-0.68211491
American Kestrel,1.994474417,-1.132346395
American Kestrel,2.204582752,-1.01757972
American Kestrel,2.371907278,-0.856266162
American Kestrel,1.665158812,-1.000046789
American Kestrel,1.984653818,-0.98822069
American Kestrel,2.178396688,-1.462283166
American Kestrel,2.542127267,-1.222720213
American Kestrel,1.957091314,-1.012572806
American Kestrel,1.947885514,-1.025031172
American Kestrel,2.066474181,-1.116224062
American Kestrel,1.73643326,-0.868094052
American Kestrel,1.548938162,-1.042765317
American Kestrel,1.760473774,-1.129609428
American Kestrel,2.220587298,-1.146771357
American Kestrel,3.077881764,-1.004037696
American Kestrel,1.957524033,-1.179379269
American Kestrel,2.183807057,-1.066878752
American Kestrel,1.737422987,-1.272338616
American Kestrel,1.742970486,-0.692452823
American Kestrel,1.813176154,-1.088210748
American Kestrel,1.330197847,-1.021460127
American Kestrel,1.537111602,-1.003087297
American Kestrel,1.499103686,-1.141262135
American Kestrel,2.072681138,-0.791261582
American Kestrel,2.502193429,-0.894193629
American Kestrel,1.889285821,-1.446529397
American Kestrel,2.211221022,-1.043580016
American Kestrel,2.163816123,-0.893264299
American Kestrel,2.220503049,-1.343841881
American Kestrel,3.228288993,-1.13737453
American Kestrel,1.581134778,-1.10963582
American Kestrel,2.750330113,-0.985685104
American Kestrel,1.51848695,-0.98280458
American Kestrel,2.415191094,-1.070744507
American Kestrel,2.140619028,-0.975878366
American Kestrel,2.52821202,-0.76254186
American Kestrel,2.255158575,-0.670163157
American Kestrel,2.198109739,-0.89553498
American Kestrel,3.071607886,-0.854313237
American Kestrel,1.99572481,-1.199917119
American Kestrel,1.540679794,-1.004126049
American Kestrel,2.011556817,-1.197160511
American Kestrel,2.315964277,-1.198857281
American Kestrel,1.178474801,-1.293255035
American Kestrel,1.968830167,-1.267849794
American Kestrel,1.798939654,-0.853877481
American Kestrel,2.239370856,-0.853422596
American Kestrel,1.855868647,-1.058641524
American Kestrel,2.126254124,-0.902338263
American Kestrel,1.856046535,-1.176017339
American Kestrel,1.973418927,-1.188343221
American Kestrel,2.430931167,-1.096178474
American Kestrel,1.252066248,-1.184889232
American Kestrel,3.169641909,-0.893551382
American Kestrel,2.21334405,-1.082997107
American Kestrel,1.668952768,-1.20217523
American Kestrel,2.272708896,-1.001823703
American Kestrel,1.332890627,-0.932102037
American Kestrel,2.356163666,-1.241758868
American Kestrel,1.867051099,-1.227342989
American Kestrel,1.974810835,-1.144694511
American Kestrel,2.941928105,-0.98927509
American Kestrel,1.891043862,-1.33406307
American Kestrel,1.46754306,-0.908539602
American Kestrel,2.224204854,-0.932430146
American Kestrel,2.002505227,-1.11060834
American Kestrel,2.075245589,-1.019592763
American Kestrel,3.359233334,-1.000238817
American Kestrel,1.790595776,-1.167020495
American Kestrel,2.24376472,-1.050548631
American Kestrel,2.987315509,-0.860614762
American Kestrel,2.37712908,-1.240350931
American Kestrel,1.146660413,-1.052704831
American Kestrel,2.505388246,-1.100002346
American Kestrel,3.340749858,-0.870169156
American Kestrel,2.758098359,-0.979646367
American Kestrel,2.661775996,-1.103035224
American Kestrel,2.584302409,-1.03716171
American Kestrel,2.042010031,-1.177636388
American Kestrel,2.057391305,-1.247637104
American Kestrel,2.143890629,-1.068429356
American Kestrel,1.569436291,-1.156753144
American Kestrel,2.978478624,-0.743748514
American Kestrel,2.486194997,-1.139036889
American Kestrel,1.777266108,-1.039036723
American Kestrel,2.350285032,-0.807246803
American Kestrel,1.848433835,-1.37934853
American Kestrel,1.465731825,-1.128643081
American Kestrel,1.671348072,-0.959148532
American Kestrel,2.034447987,-1.008310436
American Kestrel,1.822640239,-1.12684714
American Kestrel,2.13018348,-1.029404598
American Kestrel,1.921811598,-0.820406809
American Kestrel,1.899077136,-0.8617303
American Kestrel,1.978283829,-0.85204691
American Kestrel,2.154945733,-1.331009973
American Kestrel,2.151499629,-0.703357068
American Kestrel,1.017142173,-0.933878669
American Kestrel,2.03700674,-0.985181481
American Kestrel,1.501298866,-1.197022651
American Kestrel,1.642285764,-1.077309708
American Kestrel,2.053515598,-1.131444175
American Kestrel,1.858798953,-1.076936065
American Kestrel,1.861911809,-0.95436549
American Kestrel,1.474459256,-0.88099218
American Kestrel,0.854968782,-1.20688603
American Kestrel,2.651319658,-1.078340498
American Kestrel,2.091503042,-0.94274987
American Kestrel,1.778546471,-1.149578579
American Kestrel,1.962904025,-1.615348002
American Kestrel,2.13677007,-1.336536533
American Kestrel,1.778398503,-1.130170062
American Kestrel,2.129104414,-1.207877821
American Kestrel,2.462114934,-0.88139825
American Kestrel,2.568532518,-1.034732714
American Kestrel,2.080869677,-0.99613595
American Kestrel,2.037645066,-1.40660499
American Kestrel,2.034900372,-0.849040402
American Kestrel,3.147246701,-1.104039544
American Kestrel,1.724589888,-0.732429262
American Kestrel,2.417325918,-0.8248278
American Kestrel,1.830224735,-0.87873794
American Kestrel,1.607532704,-1.432224582
American Kestrel,2.358605639,-1.023938888
American Kestrel,2.0987713,-1.116217987
American Kestrel,1.671086703,-1.00007484
American Kestrel,2.355549475,-1.167445516
American Kestrel,1.71086586,-0.903340019
American Kestrel,2.488355497,-1.003928817
American Kestrel,2.009081817,-1.39954133
American Kestrel,2.207345661,-1.024426301
American Kestrel,1.829267712,-1.014229808
American Kestrel,2.196613883,-1.155574231
